SchemaID,Name,R,G,B,HEX
Schema01,SizzlingSunrise,255,219,1,#FFDB01
Schema01,MikadoYellow,255,194,18,#FFC212
Schema01,Crayola'sBrightYellow,254,169,35,#FEA923
Schema01,DeepSaffron,254,144,51,#FE9033
Schema01,OutrageousOrange,253,119,68,#FD7744
Schema01,SunsetOrange,253,94,85,#FD5E55
Schema02,SpartanCrimson,161,27,27,#A11B1B
Schema02,FireEngineRed,206,32,40,#CE2028
Schema02,UniversityOfTennesseeOrange,241,119,0,#F17700
Schema02,SelectiveYellow,255,186,5,#FFBA05
Schema02,CanaryYellow,255,238,0,#FFEE00
Schema02,LemonYellow,255,254,76,#FFFE4C
Schema03,YellowRose,254,240,1,#FEF001
Schema03,TangerineYellow,255,206,3,#FFCE03
Schema03,RYBOrange,253,154,1,#FD9A01
Schema03,VividOrange,253,97,4,#FD6104
Schema03,FerrariRed,255,44,5,#FF2C05
Schema03,ElectricRed,240,5,5,#F00505
Schema04,SpanishRed,237,0,36,#ED0024
Schema04,BloodOrange,212,3,32,#D40320
Schema04,CadmiumPurple,187,6,28,#BB061C
Schema04,SpartanCrimson,162,10,25,#A20A19
Schema04,RedDevil,137,13,21,#890D15
Schema04,UPMaroon,112,16,17,#701011
Schema05,NeonGreen,57,255,20,#39FF14
Schema05,WebChartreuse,136,255,12,#88FF0C
Schema05,SpringBud,176,255,8,#B0FF08
Schema05,TraditionalChartreuse,215,255,4,#D7FF04
Schema05,Yellow,255,255,0,#FFFF00
Schema06,Crayola'sMaize,253,202,83,#FDCA53
Schema06,Orange-Red,245,103,37,#F56725
Schema06,WatermelonRed,196,62,71,#C43E47
Schema06,Boysenberry,143,49,99,#8F3163
Schema06,Imperial,104,48,110,#68306E
Schema06,JapaneseViolet,80,44,94,#502C5E
Schema07,FrenchLime,147,255,84,#93FF54
Schema07,BrightGreen,98,244,12,#62F40C
Schema07,ChlorophyllGreen,84,233,15,#54E90F
Schema07,HarlequinGreen,69,221,18,#45DD12
Schema07,HarlequinGreen,54,207,17,#36CF11
Schema07,Yellow-Green[ColorWheel],46,194,10,#2EC20A
Schema08,LemonYellow,255,244,76,#FFF44C
Schema08,Sandstorm,232,233,66,#E8E942
Schema08,Pear,209,222,57,#D1DE39
Schema08,AndroidGreen,185,212,47,#B9D42F
Schema08,Yellow-Green,162,201,38,#A2C926
Schema08,DarkLemonLime,139,190,28,#8BBE1C
Schema09,OldMauve,99,28,72,#631C48
Schema09,AmaranthDeepPurple,159,38,92,#9F265C
Schema09,Cerise,207,41,103,#CF2967
Schema09,FieryRose,241,91,103,#F15B67
Schema09,Rajah,253,178,95,#FDB25F
Schema09,Jasmine,254,216,131,#FED883
Schema10,SealBrown,97,28,7,#611C07
Schema10,DarkRed,145,0,0,#910000
Schema10,Firebrick,178,34,34,#B22222
Schema10,Beer,237,129,17,#ED8111
Schema10,SelectiveYellow,255,187,0,#FFBB00
Schema10,VividYellow,255,229,3,#FFE503
Schema11,RipeMango,255,184,41,#FFB829
Schema11,CadmiumOrange,249,138,44,#F98A2C
Schema11,FireOpal,237,91,69,#ED5B45
Schema11,Irresistible,182,66,98,#B64262
Schema11,Imperial,99,54,99,#633663
Schema11,AmericanPurple,64,40,82,#402852
Schema12,HarlequinGreen,71,212,0,#47D400
Schema12,NeonGreen,69,255,23,#45FF17
Schema12,BitterLime,184,255,18,#B8FF12
Schema12,ArcticLime,223,252,33,#DFFC21
Schema13,CoralRed,255,64,64,#FF4040
Schema13,CGRed,224,51,51,#E03333
Schema13,FireEngineRed,194,38,38,#C22626
Schema13,SpartanCrimson,163,26,26,#A31A1A
Schema13,UPMaroon,133,13,13,#850D0D
Schema13,BloodRed,102,0,0,#660000
Schema14,RYBGreen,102,176,49,#66B031
Schema14,DarkLemonLime,140,185,37,#8CB925
Schema14,AcidGreen,179,194,25,#B3C219
Schema14,Citrine,217,202,12,#D9CA0C
Schema14,CyberYellow,255,211,0,#FFD300
Schema15,Dandelion,246,215,41,#F6D729
Schema15,Marigold,244,164,31,#F4A41F
Schema15,VividTangelo,238,108,32,#EE6C20
Schema15,Lust,230,37,36,#E62524
Schema15,CadmiumPurple,185,15,36,#B90F24
Schema16,IndiaGreen,17,139,11,#118B0B
Schema16,SlimyGreen,31,168,8,#1FA808
Schema16,Yellow-Green[ColorWheel],46,197,6,#2EC506
Schema16,Harlequin,60,226,3,#3CE203
Schema16,ChlorophyllGreen,74,255,0,#4AFF00
Schema17,FrenchLime,147,255,84,#93FF54
Schema17,BrightGreen,98,244,12,#62F40C
Schema17,ChlorophyllGreen,84,233,15,#54E90F
Schema17,HarlequinGreen,69,221,18,#45DD12
Schema17,HarlequinGreen,54,207,17,#36CF11
Schema17,Yellow-Green,46,194,10,#2EC20A
Schema18,LemonYellow,255,244,76,#FFF44C
Schema18,Sandstorm,232,233,66,#E8E942
Schema18,Pear,209,222,57,#D1DE39
Schema18,AndroidGreen,185,212,47,#B9D42F
Schema18,YellowGreen,162,201,38,#A2C926
Schema18,DarkLemonLime,139,190,28,#8BBE1C